	(1)
VARIABLES	lfpr
	
2o.smartcat#2o.agecat#1o.kids1	0.00
	(0.00)
3.smartcat#0b.agecat#0b.kids1	0.06
	(0.14)
3o.smartcat#0b.agecat#1o.kids1	0.00
	(0.00)
3.smartcat#1.agecat#0b.kids1	0.06
	(0.08)
3o.smartcat#1o.agecat#1o.kids1	0.00
	(0.00)
3.smartcat#2.agecat#0b.kids1	-0.16
	(0.18)
3o.smartcat#2o.agecat#1o.kids1	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.married	0.00
	(0.00)
1b.smartcat#0b.agecat#1.married	0.25***
	(0.04)
1b.smartcat#1o.agecat#0b.married	0.00
	(0.00)
1b.smartcat#1.agecat#1.married	-0.18***
	(0.02)
1b.smartcat#2o.agecat#0b.married	0.00
	(0.00)
1b.smartcat#2.agecat#1.married	0.14***
	(0.04)
2.smartcat#0b.agecat#0b.married	-0.23*
	(0.12)
2o.smartcat#0b.agecat#1o.married	0.00
	(0.00)
2.smartcat#1.agecat#0b.married	0.10**
	(0.05)
2o.smartcat#1o.agecat#1o.married	0.00
	(0.00)
2.smartcat#2.agecat#0b.married	-0.19***
	(0.05)
2o.smartcat#2o.agecat#1o.married	0.00
	(0.00)
3.smartcat#0b.agecat#0b.married	-0.02
	(0.20)
3o.smartcat#0b.agecat#1o.married	0.00
	(0.00)
3.smartcat#1.agecat#0b.married	0.33***
	(0.09)
3o.smartcat#1o.agecat#1o.married	0.00
	(0.00)
3.smartcat#2.agecat#0b.married	-0.06
	(0.11)
3o.smartcat#2o.agecat#1o.married	0.00
	(0.00)
1b.smartcat#0b.agecat#1.pref_opport	0.04
	(0.04)
1b.smartcat#0b.agecat#2b.pref_opport	0.00
	(0.00)
1b.smartcat#0b.agecat#3.pref_opport	-0.05
	(0.04)
1b.smartcat#0b.agecat#4.pref_opport	-0.01
	(0.08)
1b.smartcat#1.agecat#1.pref_opport	0.06**
	(0.03)
1b.smartcat#1o.agecat#2b.pref_opport	0.00
	(0.00)
1b.smartcat#1.agecat#3.pref_opport	0.04*
	(0.03)
1b.smartcat#1.agecat#4.pref_opport	-0.11**
	(0.05)
1b.smartcat#2.agecat#1.pref_opport	0.13***
	(0.05)
1b.smartcat#2o.agecat#2b.pref_opport	0.00
	(0.00)
1b.smartcat#2.agecat#3.pref_opport	-0.05
	(0.05)
1b.smartcat#2.agecat#4.pref_opport	-0.06
	(0.08)
2.smartcat#0b.agecat#1.pref_opport	0.41
	(0.29)
2.smartcat#0b.agecat#2b.pref_opport	0.54**
	(0.25)
2.smartcat#0b.agecat#3.pref_opport	0.52**
	(0.25)
2o.smartcat#0b.agecat#4o.pref_opport	0.00
	(0.00)
2.smartcat#1.agecat#1.pref_opport	-0.01
	(0.17)
2.smartcat#1.agecat#2b.pref_opport	-0.20
	(0.15)
2.smartcat#1.agecat#3.pref_opport	-0.21
	(0.15)
2o.smartcat#1o.agecat#4o.pref_opport	0.00
	(0.00)
2.smartcat#2.agecat#1.pref_opport	0.24
	(0.15)
2.smartcat#2.agecat#2b.pref_opport	0.02
	(0.13)
2.smartcat#2.agecat#3.pref_opport	-0.05
	(0.12)
2o.smartcat#2o.agecat#4o.pref_opport	0.00
	(0.00)
3.smartcat#0b.agecat#1.pref_opport	0.22
	(0.18)
3.smartcat#0b.agecat#2b.pref_opport	-0.01
	(0.16)
3o.smartcat#0b.agecat#3o.pref_opport	0.00
	(0.00)
3o.smartcat#0b.agecat#4o.pref_opport	0.00
	(0.00)
3.smartcat#1.agecat#1.pref_opport	0.38*
	(0.22)
3.smartcat#1.agecat#2b.pref_opport	0.36*
	(0.21)
3.smartcat#1.agecat#3.pref_opport	0.30
	(0.22)
3o.smartcat#1o.agecat#4o.pref_opport	0.00
	(0.00)
3.smartcat#2.agecat#1.pref_opport	0.74***
	(0.23)
3.smartcat#2.agecat#2b.pref_opport	0.40*
	(0.22)
3.smartcat#2.agecat#3.pref_opport	0.23
	(0.22)
3o.smartcat#2o.agecat#4o.pref_opport	0.00
	(0.00)
1b.smartcat#0b.agecat#c.optimism	-0.04
	(0.05)
1b.smartcat#1.agecat#c.optimism	0.03
	(0.04)
1b.smartcat#2.agecat#c.optimism	0.34***
	(0.06)
2.smartcat#0b.agecat#c.optimism	0.56***
	(0.14)
2.smartcat#1.agecat#c.optimism	0.19**
	(0.08)
2.smartcat#2.agecat#c.optimism	0.46***
