	(1)
	(0.04)
3o.devcat#1o.agecat#1o.married	0.00
	(0.00)
3.devcat#2.agecat#0b.married	-0.18***
	(0.04)
3o.devcat#2o.agecat#1o.married	0.00
	(0.00)
4o.devcat#0b.agecat#0b.married	0.00
	(0.00)
4.devcat#0b.agecat#1.married	0.15
	(0.13)
4.devcat#1.agecat#0b.married	0.28***
	(0.08)
4o.devcat#1o.agecat#1o.married	0.00
	(0.00)
4.devcat#2.agecat#0b.married	0.14
	(0.19)
4o.devcat#2o.agecat#1o.married	0.00
	(0.00)
1b.devcat#0b.agecat#1.pref_opport	0.12*
	(0.07)
1b.devcat#0b.agecat#2b.pref_opport	0.00
	(0.00)
1b.devcat#0b.agecat#3.pref_opport	0.05
	(0.07)
1b.devcat#0b.agecat#4.pref_opport	0.12
	(0.13)
1b.devcat#1.agecat#1.pref_opport	0.01
	(0.05)
1b.devcat#1o.agecat#2b.pref_opport	0.00
	(0.00)
1b.devcat#1.agecat#3.pref_opport	0.07
	(0.06)
1b.devcat#1.agecat#4.pref_opport	-0.09
	(0.09)
1b.devcat#2.agecat#1.pref_opport	0.06
	(0.12)
1b.devcat#2o.agecat#2b.pref_opport	0.00
	(0.00)
1b.devcat#2.agecat#3.pref_opport	0.05
	(0.14)
1b.devcat#2.agecat#4.pref_opport	-0.03
	(0.19)
2.devcat#0b.agecat#1.pref_opport	-0.01
	(0.05)
2o.devcat#0b.agecat#2b.pref_opport	0.00
	(0.00)
2.devcat#0b.agecat#3.pref_opport	-0.06
	(0.05)
2.devcat#0b.agecat#4.pref_opport	-0.03
	(0.11)
2.devcat#1.agecat#1.pref_opport	0.18***
	(0.07)
2.devcat#1.agecat#2b.pref_opport	0.10
	(0.06)
2.devcat#1.agecat#3.pref_opport	0.14**
	(0.06)
2o.devcat#1o.agecat#4o.pref_opport	0.00
	(0.00)
2.devcat#2.agecat#1.pref_opport	0.26***
	(0.09)
2.devcat#2.agecat#2b.pref_opport	0.09
	(0.08)
2.devcat#2.agecat#3.pref_opport	0.03
	(0.09)
2o.devcat#2o.agecat#4o.pref_opport	0.00
	(0.00)
3.devcat#0b.agecat#1.pref_opport	0.02
	(0.15)
3o.devcat#0b.agecat#2b.pref_opport	0.00
	(0.00)
3.devcat#0b.agecat#3.pref_opport	-0.06
	(0.08)
3.devcat#0b.agecat#4.pref_opport	-0.57**
	(0.24)
3.devcat#1.agecat#1.pref_opport	-0.05
	(0.15)
3.devcat#1.agecat#2b.pref_opport	-0.14
	(0.14)
3.devcat#1.agecat#3.pref_opport	-0.16
	(0.14)
3o.devcat#1o.agecat#4o.pref_opport	0.00
	(0.00)
3.devcat#2.agecat#1.pref_opport	0.32**
	(0.12)
3.devcat#2.agecat#2b.pref_opport	0.07
	(0.11)
3.devcat#2.agecat#3.pref_opport	-0.02
	(0.11)
3o.devcat#2o.agecat#4o.pref_opport	0.00
	(0.00)
4.devcat#0b.agecat#1.pref_opport	0.02
	(0.13)
4o.devcat#0b.agecat#2b.pref_opport	0.00
	(0.00)
4.devcat#0b.agecat#3.pref_opport	-0.00
	(0.12)
4.devcat#0b.agecat#4.pref_opport	-0.32
	(0.42)
4.devcat#1.agecat#1.pref_opport	0.67***
	(0.17)
4.devcat#1.agecat#2b.pref_opport	0.55***
	(0.17)
4.devcat#1.agecat#3.pref_opport	0.55***
	(0.17)
4o.devcat#1o.agecat#4o.pref_opport	0.00
	(0.00)
4.devcat#2.agecat#1.pref_opport	-0.50
	(0.41)
4.devcat#2.agecat#2b.pref_opport	-0.49
	(0.40)
4.devcat#2.agecat#3.pref_opport	-0.85**
	(0.42)
4o.devcat#2o.agecat#4o.pref_opport	0.00
	(0.00)
1b.devcat#0b.agecat#c.optimism	-0.07
	(0.09)
1b.devcat#1.agecat#c.optimism	0.09
	(0.08)
1b.devcat#2.agecat#c.optimism	0.43**
	(0.17)
2.devcat#0b.agecat#c.optimism	0.01
	(0.07)
2.devcat#1.agecat#c.optimism	-0.02
	(0.04)
2.devcat#2.agecat#c.optimism	0.35***
	(0.07)
3.devcat#0b.agecat#c.optimism	0.54***
	(0.13)
3.devcat#1.agecat#c.optimism	0.18**
	(0.07)
3.devcat#2.agecat#c.optimism	0.44***
	(0.07)
4.devcat#0b.agecat#c.optimism	0.12
	(0.18)
4.devcat#1.agecat#c.optimism	0.14
	(0.10)
4.devcat#2.agecat#c.optimism	-0.61**
	(0.31)
1b.devcat#0b.agecat#0b.respect	0.00
	(0.00)
1b.devcat#0b.agecat#1.respect	0.05
	(0.06)
1b.devcat#1o.agecat#0b.respect	0.00
	(0.00)
1b.devcat#1.agecat#1.respect	-0.00
	(0.05)
1b.devcat#2o.agecat#0b.respect	0.00
	(0.00)
1b.devcat#2.agecat#1.respect	0.05
	(0.11)
2o.devcat#0b.agecat#0b.respect	0.00
	(0.00)
2.devcat#0b.agecat#1.respect	0.03
	(0.04)
2.devcat#1.agecat#0b.respect	-0.02
	(0.03)
2o.devcat#1o.agecat#1o.respect	0.00
	(0.00)
2.devcat#2.agecat#0b.respect	0.09*
	(0.04)
2o.devcat#2o.agecat#1o.respect	0.00
	(0.00)
3o.devcat#0b.agecat#0b.respect	0.00
	(0.00)
3.devcat#0b.agecat#1.respect	0.12
	(0.09)
3.devcat#1.agecat#0b.respect	-0.09*
	(0.05)
3o.devcat#1o.agecat#1o.respect	0.00
	(0.00)
3.devcat#2.agecat#0b.respect	-0.00
	(0.05)
3o.devcat#2o.agecat#1o.respect	0.00
	(0.00)
4o.devcat#0b.agecat#0b.respect	0.00
	(0.00)
4.devcat#0b.agecat#1.respect	-0.07
	(0.11)
4.devcat#1.agecat#0b.respect	0.08
	(0.07)
4o.devcat#1o.agecat#1o.respect	0.00
	(0.00)
4.devcat#2.agecat#0b.respect	0.04
	(0.20)
4o.devcat#2o.agecat#1o.respect	0.00
	(0.00)
1b.devcat#0b.agecat#0b.internet	0.00
	(0.00)
1b.devcat#0b.agecat#1.internet	0.02
	(0.08)
1b.devcat#1o.agecat#0b.internet	0.00
	(0.00)
1b.devcat#1.agecat#1.internet	0.01
	(0.08)
1b.devcat#2o.agecat#0b.internet	0.00
	(0.00)
1b.devcat#2.agecat#1.internet	-0.11
	(0.31)
2o.devcat#0b.agecat#0b.internet	0.00
	(0.00)
2.devcat#0b.agecat#1.internet	-0.04
	(0.05)
2.devcat#1.agecat#0b.internet	-0.21***
	(0.03)
2o.devcat#1o.agecat#1o.internet	0.00
	(0.00)
2.devcat#2.agecat#0b.internet	-0.39***
	(0.05)
2o.devcat#2o.agecat#1o.internet	0.00
	(0.00)
3o.devcat#0b.agecat#0b.internet	0.00
	(0.00)
3.devcat#0b.agecat#1.internet	-0.07
	(0.22)
3.devcat#1.agecat#0b.internet	-0.51***
	(0.08)
3o.devcat#1o.agecat#1o.internet	0.00
	(0.00)
3.devcat#2.agecat#0b.internet	-0.51***
	(0.05)
3o.devcat#2o.agecat#1o.internet	0.00
	(0.00)
4o.devcat#0b.agecat#0b.internet	0.00
	(0.00)
4.devcat#0b.agecat#1.internet	-0.11
	(0.15)
4.devcat#1.agecat#0b.internet	-0.21***
	(0.08)
4o.devcat#1o.agecat#1o.internet	0.00
	(0.00)
4.devcat#2.agecat#0b.internet	-0.02
	(0.21)
4o.devcat#2o.agecat#1o.internet	0.00
	(0.00)
1b.devcat#0b.agecat#0b.phone	0.00
	(0.00)
1b.devcat#0b.agecat#1.phone	0.36***
	(0.06)
1b.devcat#1o.agecat#0b.phone	0.00
	(0.00)
1b.devcat#1.agecat#1.phone	0.17***
	(0.05)
1b.devcat#2o.agecat#0b.phone	0.00
	(0.00)
1b.devcat#2.agecat#1.phone	0.32***
	(0.10)
2o.devcat#0b.agecat#0b.phone	0.00
	(0.00)
2.devcat#0b.agecat#1.phone	0.11*
	(0.06)
2.devcat#1.agecat#0b.phone	-0.15***
	(0.04)
2o.devcat#1o.agecat#1o.phone	0.00
	(0.00)
2.devcat#2.agecat#0b.phone	-0.13**
	(0.06)
2o.devcat#2o.agecat#1o.phone	0.00
	(0.00)
3o.devcat#0b.agecat#0b.phone	0.00
	(0.00)
3.devcat#0b.agecat#1.phone	-0.23
	(0.38)
3.devcat#1.agecat#0b.phone	0.13
	(0.22)
3o.devcat#1o.agecat#1o.phone	0.00
	(0.00)
3.devcat#2.agecat#0b.phone	-0.10
	(0.18)
3o.devcat#2o.agecat#1o.phone	0.00
	(0.00)
4o.devcat#0b.agecat#0b.phone	0.00
	(0.00)
4.devcat#0b.agecat#1.phone	0.80***
	(0.22)
4.devcat#1.agecat#0b.phone	-0.20
	(0.14)
4o.devcat#1o.agecat#1o.phone	0.00
	(0.00)
4.devcat#2.agecat#0b.phone	-0.43
	(0.29)
4o.devcat#2o.agecat#1o.phone	0.00
	(0.00)
1b.devcat#0b.agecat#1b.poor	0.00
	(0.00)
1b.devcat#0b.agecat#2.poor	0.11*
	(0.07)
1b.devcat#0b.agecat#3.poor	0.26***
	(0.07)
1b.devcat#1o.agecat#1b.poor	0.00
	(0.00)
1b.devcat#1.agecat#2.poor	0.09*
	(0.06)
1b.devcat#1.agecat#3.poor	0.19***
	(0.06)
1b.devcat#2o.agecat#1b.poor	0.00
	(0.00)
1b.devcat#2.agecat#2.poor	0.32**
	(0.13)
1b.devcat#2.agecat#3.poor	0.22*
	(0.13)
2o.devcat#0b.agecat#1b.poor	0.00
	(0.00)
2.devcat#0b.agecat#2.poor	0.18***
	(0.05)
2.devcat#0b.agecat#3.poor	0.23***
	(0.05)
2.devcat#1.agecat#1b.poor	-0.14***
	(0.03)
2.devcat#1.agecat#2.poor	-0.07*
	(0.03)
2o.devcat#1o.agecat#3o.poor	0.00
	(0.00)
2.devcat#2.agecat#1b.poor	-0.29***
