	(1)
VARIABLES	lfpr
	
3.smartcat#2.agecat#1.pref_opport	0.35***
	(0.13)
3.smartcat#2.agecat#2b.pref_opport	0.16
	(0.13)
3.smartcat#2.agecat#3.pref_opport	0.01
	(0.13)
3o.smartcat#2o.agecat#4o.pref_opport	0.00
	(0.00)
1b.smartcat#0b.agecat#c.optimism	-0.08
	(0.09)
1b.smartcat#1.agecat#c.optimism	0.11
	(0.07)
1b.smartcat#2.agecat#c.optimism	0.45***
	(0.17)
2.smartcat#0b.agecat#c.optimism	0.27***
	(0.08)
2.smartcat#1.agecat#c.optimism	0.14***
	(0.04)
2.smartcat#2.agecat#c.optimism	0.45***
	(0.06)
3.smartcat#0b.agecat#c.optimism	-0.12
	(0.09)
3.smartcat#1.agecat#c.optimism	0.01
	(0.05)
3.smartcat#2.agecat#c.optimism	0.09
	(0.09)
1b.smartcat#0b.agecat#0b.pref_work#0b.married	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.pref_work#1.married	0.09
	(0.18)
1b.smartcat#0b.agecat#1.pref_work#0b.married	-0.06
	(0.22)
1b.smartcat#0b.agecat#1.pref_work#1.married	0.21
	(0.22)
1b.smartcat#1o.agecat#0b.pref_work#0b.married	0.00
	(0.00)
1b.smartcat#1.agecat#0b.pref_work#1.married	-0.06
	(0.13)
1b.smartcat#1.agecat#1.pref_work#0b.married	0.02
	(0.17)
1b.smartcat#1.agecat#1.pref_work#1.married	-0.07
	(0.17)
1b.smartcat#2o.agecat#0b.pref_work#0b.married	0.00
	(0.00)
1b.smartcat#2.agecat#0b.pref_work#1.married	0.34**
	(0.16)
1b.smartcat#2.agecat#1.pref_work#0b.married	0.16
	(0.27)
1b.smartcat#2.agecat#1.pref_work#1.married	0.28
	(0.29)
2.smartcat#0b.agecat#0b.pref_work#0b.married	-0.67***
	(0.25)
2.smartcat#0b.agecat#0b.pref_work#1.married	-0.55**
	(0.27)
2.smartcat#0b.agecat#1.pref_work#0b.married	-0.12**
	(0.06)
2o.smartcat#0b.agecat#1o.pref_work#1o.married	0.00
	(0.00)
2.smartcat#1.agecat#0b.pref_work#0b.married	-0.59***
	(0.13)
2.smartcat#1.agecat#0b.pref_work#1.married	-0.84***
	(0.11)
2.smartcat#1.agecat#1.pref_work#0b.married	0.07**
	(0.03)
2o.smartcat#1o.agecat#1o.pref_work#1o.married	0.00
	(0.00)
2.smartcat#2.agecat#0b.pref_work#0b.married	-0.90***
	(0.19)
2.smartcat#2.agecat#0b.pref_work#1.married	-0.77***
	(0.19)
2.smartcat#2.agecat#1.pref_work#0b.married	-0.10**
	(0.04)
2o.smartcat#2o.agecat#1o.pref_work#1o.married	0.00
	(0.00)
3.smartcat#0b.agecat#0b.pref_work#0b.married	-0.85***
	(0.20)
3.smartcat#0b.agecat#0b.pref_work#1.married	-0.78***
	(0.23)
3.smartcat#0b.agecat#1.pref_work#0b.married	-0.24***
	(0.07)
3o.smartcat#0b.agecat#1o.pref_work#1o.married	0.00
	(0.00)
3.smartcat#1.agecat#0b.pref_work#0b.married	-0.38***
	(0.11)
3.smartcat#1.agecat#0b.pref_work#1.married	-0.79***
	(0.09)
3.smartcat#1.agecat#1.pref_work#0b.married	0.29***
	(0.04)
3o.smartcat#1o.agecat#1o.pref_work#1o.married	0.00
	(0.00)
3.smartcat#2.agecat#0b.pref_work#0b.married	-0.49**
	(0.19)
3.smartcat#2.agecat#0b.pref_work#1.married	-0.44**
	(0.17)
3.smartcat#2.agecat#1.pref_work#0b.married	-0.07
	(0.07)
3o.smartcat#2o.agecat#1o.pref_work#1o.married	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.pref_work#0b.pref_accept	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.pref_work#1.pref_accept	0.07
	(0.18)
1b.smartcat#0b.agecat#1.pref_work#0b.pref_accept	-0.19*
	(0.11)
1b.smartcat#0b.agecat#1o.pref_work#1o.pref_accept	0.00
	(0.00)
1b.smartcat#1o.agecat#0b.pref_work#0b.pref_accept	0.00
	(0.00)
1b.smartcat#1.agecat#0b.pref_work#1.pref_accept	0.02
	(0.11)
1b.smartcat#1.agecat#1.pref_work#0b.pref_accept	-0.09
	(0.09)
1b.smartcat#1o.agecat#1o.pref_work#1o.pref_accept	0.00
	(0.00)
1b.smartcat#2o.agecat#0b.pref_work#0b.pref_accept	0.00
	(0.00)
1b.smartcat#2.agecat#0b.pref_work#1.pref_accept	-0.11
	(0.18)
1b.smartcat#2.agecat#1.pref_work#0b.pref_accept	0.10
	(0.25)
1b.smartcat#2o.agecat#1o.pref_work#1o.pref_accept	0.00
	(0.00)
2.smartcat#0b.agecat#0b.pref_work#0b.pref_accept	0.15
	(0.21)
2o.smartcat#0b.agecat#0b.pref_work#1o.pref_accept	0.00
	(0.00)
2.smartcat#0b.agecat#1.pref_work#0b.pref_accept	-0.02
	(0.10)
2o.smartcat#0b.agecat#1o.pref_work#1o.pref_accept	0.00
	(0.00)
2.smartcat#1.agecat#0b.pref_work#0b.pref_accept	-0.13
	(0.09)
2o.smartcat#1o.agecat#0b.pref_work#1o.pref_accept	0.00
	(0.00)
2.smartcat#1.agecat#1.pref_work#0b.pref_accept	-0.31***
	(0.07)
2o.smartcat#1o.agecat#1o.pref_work#1o.pref_accept	0.00
	(0.00)
2.smartcat#2.agecat#0b.pref_work#0b.pref_accept	0.02
	(0.10)
2o.smartcat#2o.agecat#0b.pref_work#1o.pref_accept	0.00
	(0.00)
2.smartcat#2.agecat#1.pref_work#0b.pref_accept	-0.27**
	(0.11)
2o.smartcat#2o.agecat#1o.pref_work#1o.pref_accept	0.00
	(0.00)
3.smartcat#0b.agecat#0b.pref_work#0b.pref_accept	0.08
	(0.15)
3o.smartcat#0b.agecat#0b.pref_work#1o.pref_accept	0.00
	(0.00)
3.smartcat#0b.agecat#1.pref_work#0b.pref_accept	-0.08
	(0.12)
3o.smartcat#0b.agecat#1o.pref_work#1o.pref_accept	0.00
	(0.00)
3.smartcat#1.agecat#0b.pref_work#0b.pref_accept	-0.06
	(0.08)
3o.smartcat#1o.agecat#0b.pref_work#1o.pref_accept	0.00
	(0.00)
3.smartcat#1.agecat#1.pref_work#0b.pref_accept	-0.15**
	(0.07)
3o.smartcat#1o.agecat#1o.pref_work#1o.pref_accept	0.00
	(0.00)
3.smartcat#2.agecat#0b.pref_work#0b.pref_accept	0.21
	(0.13)
3o.smartcat#2o.agecat#0b.pref_work#1o.pref_accept	0.00
	(0.00)
3.smartcat#2.agecat#1.pref_work#0b.pref_accept	-0.09
	(0.17)
3o.smartcat#2o.agecat#1o.pref_work#1o.pref_accept	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.pref_work#0b.urban	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.pref_work#1.urban	-0.54**
	(0.25)
1b.smartcat#0b.agecat#1.pref_work#0b.urban	-0.03
	(0.07)
1b.smartcat#0b.agecat#1o.pref_work#1o.urban	0.00
	(0.00)
1b.smartcat#1o.agecat#0b.pref_work#0b.urban	0.00
	(0.00)
1b.smartcat#1.agecat#0b.pref_work#1.urban	-0.10
	(0.13)
1b.smartcat#1.agecat#1.pref_work#0b.urban	-0.07
	(0.06)
1b.smartcat#1o.agecat#1o.pref_work#1o.urban	0.00
	(0.00)
1b.smartcat#2o.agecat#0b.pref_work#0b.urban	0.00
	(0.00)
1b.smartcat#2.agecat#0b.pref_work#1.urban	-0.46**
	(0.21)
1b.smartcat#2.agecat#1.pref_work#0b.urban	-0.01
	(0.17)
1b.smartcat#2o.agecat#1o.pref_work#1o.urban	0.00
	(0.00)
2.smartcat#0b.agecat#0b.pref_work#0b.urban	0.18
	(0.16)
2o.smartcat#0b.agecat#0b.pref_work#1o.urban	0.00
	(0.00)
2.smartcat#0b.agecat#1.pref_work#0b.urban	-0.04
	(0.05)
2o.smartcat#0b.agecat#1o.pref_work#1o.urban	0.00
	(0.00)
2.smartcat#1.agecat#0b.pref_work#0b.urban	0.14**
	(0.07)
2o.smartcat#1o.agecat#0b.pref_work#1o.urban	0.00
	(0.00)
2.smartcat#1.agecat#1.pref_work#0b.urban	-0.01
	(0.03)
2o.smartcat#1o.agecat#1o.pref_work#1o.urban	0.00
	(0.00)
2.smartcat#2.agecat#0b.pref_work#0b.urban	0.36***
	(0.07)
2o.smartcat#2o.agecat#0b.pref_work#1o.urban	0.00
	(0.00)
2.smartcat#2.agecat#1.pref_work#0b.urban	0.14***
	(0.04)
2o.smartcat#2o.agecat#1o.pref_work#1o.urban	0.00
	(0.00)
3.smartcat#0b.agecat#0b.pref_work#0b.urban	-0.01
	(0.14)
3o.smartcat#0b.agecat#0b.pref_work#1o.urban	0.00
	(0.00)
3.smartcat#0b.agecat#1.pref_work#0b.urban	-0.14**
	(0.06)
3o.smartcat#0b.agecat#1o.pref_work#1o.urban	0.00
	(0.00)
3.smartcat#1.agecat#0b.pref_work#0b.urban	0.13*
	(0.07)
3o.smartcat#1o.agecat#0b.pref_work#1o.urban	0.00
	(0.00)
3.smartcat#1.agecat#1.pref_work#0b.urban	-0.03
	(0.04)
3o.smartcat#1o.agecat#1o.pref_work#1o.urban	0.00
	(0.00)
3.smartcat#2.agecat#0b.pref_work#0b.urban	0.09
	(0.10)
3o.smartcat#2o.agecat#0b.pref_work#1o.urban	0.00
	(0.00)
3.smartcat#2.agecat#1.pref_work#0b.urban	0.07
	(0.07)
3o.smartcat#2o.agecat#1o.pref_work#1o.urban	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.pref_work#0b.islam	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.pref_work#1.islam	-0.28
	(0.19)
1b.smartcat#0b.agecat#1.pref_work#0b.islam	0.17**
	(0.07)
1b.smartcat#0b.agecat#1o.pref_work#1o.islam	0.00
	(0.00)
1b.smartcat#1o.agecat#0b.pref_work#0b.islam	0.00
	(0.00)
1b.smartcat#1.agecat#0b.pref_work#1.islam	-0.47***
	(0.12)
1b.smartcat#1.agecat#1.pref_work#0b.islam	0.24***
	(0.07)
