	(1)
VARIABLES	lfpr
	
1.agecat	0.14
	(0.30)
2.agecat	-0.47
	(0.43)
1b.smartcat#0b.agecat#1b.educ	0.00
	(0.00)
1b.smartcat#0b.agecat#2.educ	-0.30***
	(0.06)
1b.smartcat#0b.agecat#3.educ	0.02
	(0.29)
1b.smartcat#1o.agecat#1b.educ	0.00
	(0.00)
1b.smartcat#1.agecat#2.educ	0.11*
	(0.06)
1b.smartcat#1.agecat#3.educ	0.54***
	(0.16)
1b.smartcat#2o.agecat#1b.educ	0.00
	(0.00)
1b.smartcat#2.agecat#2.educ	0.82***
	(0.21)
1b.smartcat#2.agecat#3.educ	0.18
	(0.52)
2.smartcat#0b.agecat#1b.educ	-1.53***
	(0.48)
2.smartcat#0b.agecat#2.educ	-1.29***
	(0.48)
2.smartcat#0b.agecat#3.educ	-0.65
	(0.49)
2.smartcat#1.agecat#1b.educ	-0.76*
	(0.44)
2.smartcat#1.agecat#2.educ	-0.60
	(0.44)
2.smartcat#1.agecat#3.educ	-0.39
	(0.44)
2.smartcat#2.agecat#1b.educ	-0.38***
	(0.05)
2.smartcat#2.agecat#2.educ	-0.23***
	(0.04)
2o.smartcat#2o.agecat#3o.educ	0.00
	(0.00)
3.smartcat#0b.agecat#1b.educ	-0.67
	(0.52)
3.smartcat#0b.agecat#2.educ	-0.35
	(0.52)
3.smartcat#0b.agecat#3.educ	0.35
	(0.53)
3.smartcat#1.agecat#1b.educ	-0.53
	(0.46)
3.smartcat#1.agecat#2.educ	-0.46
	(0.46)
3.smartcat#1.agecat#3.educ	0.04
	(0.46)
3.smartcat#2.agecat#1b.educ	-0.40***
	(0.10)
3.smartcat#2.agecat#2.educ	-0.21**
	(0.09)
3o.smartcat#2o.agecat#3o.educ	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.kids1	0.00
	(0.00)
1b.smartcat#0b.agecat#1.kids1	0.13*
	(0.07)
1b.smartcat#1o.agecat#0b.kids1	0.00
	(0.00)
1b.smartcat#1.agecat#1.kids1	0.08
	(0.08)
1b.smartcat#2o.agecat#0b.kids1	0.00
	(0.00)
1b.smartcat#2.agecat#1.kids1	0.08
	(0.12)
2.smartcat#0b.agecat#0b.kids1	0.06
	(0.05)
2o.smartcat#0b.agecat#1o.kids1	0.00
	(0.00)
2.smartcat#1.agecat#0b.kids1	0.14***
	(0.03)
2o.smartcat#1o.agecat#1o.kids1	0.00
	(0.00)
2.smartcat#2.agecat#0b.kids1	-0.17***
	(0.05)
2o.smartcat#2o.agecat#1o.kids1	0.00
	(0.00)
3.smartcat#0b.agecat#0b.kids1	0.09
	(0.06)
3o.smartcat#0b.agecat#1o.kids1	0.00
	(0.00)
3.smartcat#1.agecat#0b.kids1	0.07*
	(0.04)
3o.smartcat#1o.agecat#1o.kids1	0.00
	(0.00)
3.smartcat#2.agecat#0b.kids1	-0.22***
	(0.07)
3o.smartcat#2o.agecat#1o.kids1	0.00
	(0.00)
1b.smartcat#0b.agecat#1.pref_opport	0.17***
	(0.06)
1b.smartcat#0b.agecat#2b.pref_opport	0.00
	(0.00)
1b.smartcat#0b.agecat#3.pref_opport	0.07
	(0.07)
1b.smartcat#0b.agecat#4.pref_opport	0.13
	(0.13)
1b.smartcat#1.agecat#1.pref_opport	0.03
	(0.05)
1b.smartcat#1o.agecat#2b.pref_opport	0.00
	(0.00)
1b.smartcat#1.agecat#3.pref_opport	0.08
	(0.06)
1b.smartcat#1.agecat#4.pref_opport	-0.06
	(0.09)
1b.smartcat#2.agecat#1.pref_opport	0.10
	(0.12)
1b.smartcat#2o.agecat#2b.pref_opport	0.00
	(0.00)
1b.smartcat#2.agecat#3.pref_opport	0.07
	(0.14)
1b.smartcat#2.agecat#4.pref_opport	-0.03
	(0.18)
2.smartcat#0b.agecat#1.pref_opport	0.00
	(0.13)
2.smartcat#0b.agecat#2b.pref_opport	0.17
	(0.12)
2.smartcat#0b.agecat#3.pref_opport	0.11
	(0.13)
2o.smartcat#0b.agecat#4o.pref_opport	0.00
	(0.00)
2.smartcat#1.agecat#1.pref_opport	0.07
	(0.07)
2.smartcat#1.agecat#2b.pref_opport	0.02
	(0.07)
2.smartcat#1.agecat#3.pref_opport	0.03
	(0.07)
2o.smartcat#1o.agecat#4o.pref_opport	0.00
	(0.00)
2.smartcat#2.agecat#1.pref_opport	0.22**
	(0.09)
2.smartcat#2.agecat#2b.pref_opport	-0.00
	(0.07)
2.smartcat#2.agecat#3.pref_opport	-0.10
	(0.08)
2o.smartcat#2o.agecat#4o.pref_opport	0.00
	(0.00)
3.smartcat#0b.agecat#1.pref_opport	0.34*
	(0.17)
